Customer Id,Gender,Geography,Num Of Products,Row Number,Tenure,Age,Balance,Credit Score,Estimated Salary,Exited,Has Cr Card,Is Active Member,Total Purchases,Total Visits
15634602,Female,France,1,1,2,42,0,619,101348.88,1,1,1,7,19
15647311,Female,Spain,1,2,1,41,83807.86,608,112542.58,0,0,1,2,19
15619304,Female,France,3,3,8,42,159660.8,502,113931.57,1,1,0,1,16
15701354,Female,France,2,4,1,39,0,699,93826.63,0,0,0,2,14
15737888,Female,Spain,1,5,2,43,125510.82,850,79084.1,0,1,1,6,17
15574012,Male,Spain,2,6,8,44,113755.78,645,149756.71,1,1,0,2,10
15592531,Male,France,2,7,7,50,0,822,10062.8,0,1,1,1,17
15656148,Female,Germany,4,8,4,29,115046.74,376,119346.88,1,1,0,1,5
15792365,Male,France,2,9,4,44,142051.07,501,74940.5,0,0,1,4,15
15592389,Male,France,1,10,2,27,134603.88,684,71725.73,0,1,1,8,8
15767821,Male,France,2,11,6,31,102016.72,528,80181.12,0,0,0,6,14
15737173,Male,Spain,2,12,3,24,0,497,76390.01,0,1,0,4,18
15632264,Female,France,2,13,10,34,0,476,26260.98,0,1,0,6,19
15691483,Female,France,2,14,5,25,0,549,190857.79,0,0,0,6,14
15600882,Female,Spain,2,15,7,35,0,635,65951.65,0,1,1,9,10
15643966,Male,Germany,2,16,3,45,143129.41,616,64327.26,0,0,1,4,17
15737452,Male,Germany,1,17,1,58,132602.88,653,5097.67,1,1,0,6,6
15788218,Female,Spain,2,18,9,24,0,549,14406.41,0,1,1,1,14
15661507,Male,Spain,1,19,6,45,0,587,158684.81,0,0,0,7,9
15568982,Female,France,2,20,6,24,0,726,54724.03,0,1,1,7,15
15577657,Male,France,2,21,8,41,0,732,170886.17,0,1,1,1,13
15597945,Female,Spain,2,22,8,32,0,636,138555.46,0,1,0,8,7
15699309,Female,Spain,1,23,4,38,0,510,118913.53,1,1,0,5,7
15725737,Male,France,2,24,3,46,0,669,8487.75,0,0,1,9,13
15625047,Female,France,1,25,5,38,0,846,187616.16,0,1,1,8,17
15738191,Male,France,2,26,3,25,0,577,124508.29,0,0,1,3,7
15736816,Male,Germany,1,27,2,36,136815.64,756,170041.95,0,1,1,1,8
15700772,Male,France,2,28,9,44,0,571,38433.35,0,0,0,3,16
15728693,Female,Germany,1,29,3,43,141349.43,574,100187.43,0,1,1,2,13
15656300,Male,France,2,30,0,29,59697.17,411,53483.21,0,1,1,2,8
15589475,Female,Spain,3,31,3,39,0,591,140469.38,1,1,0,4,9
15706552,Male,France,1,32,7,36,85311.7,533,156731.91,0,0,1,2,6
15750181,Male,Germany,2,33,9,41,110112.54,553,81898.81,0,0,0,8,12
15659428,Female,Spain,2,34,6,42,0,520,34410.55,0,1,1,5,17
15732963,Female,Spain,2,35,9,29,0,722,142033.07,0,1,1,1,13
15794171,Female,France,1,36,0,45,134264.04,475,27822.99,1,1,0,6,14
15788448,Male,Spain,1,37,3,31,145260.23,490,114066.77,0,0,1,7,8
15729599,Male,Spain,1,38,7,33,76548.6,804,98453.45,0,0,1,1,7
15717426,Male,France,1,39,7,36,0,850,40812.9,0,1,1,3,19
15585768,Male,Germany,2,40,6,41,70349.48,582,178074.04,0,0,1,9,8
15619360,Male,Spain,1,41,4,40,0,472,70154.22,0,1,0,7,17
15738148,Female,France,1,42,8,51,122522.32,465,181297.65,1,0,0,4,17
15687946,Female,France,1,43,2,61,117419.35,556,94153.83,0,1,1,6,11
15755196,Female,France,1,44,2,49,131394.56,834,194365.76,1,0,0,6,5
15684171,Female,Spain,1,45,5,61,155931.11,660,158338.39,0,1,1,3,15
15754849,Female,Germany,2,46,4,32,109421.13,776,126517.46,0,1,1,2,15
15602280,Female,Germany,1,47,9,27,112045.67,829,119708.21,1,1,1,5,6
15771573,Female,Germany,1,48,9,39,137843.8,637,117622.8,1,1,1,8,14
15766205,Male,Germany,1,49,2,38,103391.38,550,90878.13,0,0,1,3,9
15771873,Female,Germany,2,50,2,37,103769.22,776,194099.12,0,1,0,5,13
15616550,Male,Germany,2,51,10,44,116363.37,698,198059.16,0,1,0,3,19
15768193,Male,Germany,2,52,5,36,146050.97,585,86424.57,0,0,0,7,17
15683553,Female,France,2,53,5,33,0,788,116978.19,0,0,0,6,10
15702298,Male,Germany,1,54,8,41,125561.97,655,164040.94,1,0,0,6,7
15569590,Male,Germany,1,55,1,42,98495.72,601,40014.76,1,1,0,1,7
15760861,Male,France,1,56,1,43,125211.92,619,113410.49,0,1,1,2,17
15630053,Male,France,1,57,5,45,127864.4,656,87107.57,0,1,0,6,11
15647091,Male,Germany,1,58,0,19,75888.2,725,45613.75,0,0,0,8,7
15623944,Female,Spain,1,59,4,66,0,511,1643.11,1,1,0,5,19
15804771,Male,France,1,60,4,51,40685.92,614,46775.28,0,1,1,2,14
15651280,Male,Germany,1,61,5,35,136857,742,84509.57,0,0,0,5,7
15773469,Female,Germany,2,62,9,27,152328.88,687,126494.82,0,0,0,9,14
15702014,Male,Spain,2,63,1,33,56084.69,555,178798.13,0,0,0,6,16
15751208,Male,Spain,1,64,8,56,78707.16,684,99398.36,0,1,1,5,11
15592461,Male,Germany,1,65,4,26,109166.37,603,92840.67,0,1,1,6,13
15789484,Female,Germany,2,66,6,36,169831.46,751,27758.36,0,1,1,9,13
15696061,Female,Germany,1,67,1,34,101633.04,581,110431.51,0,1,0,7,7
15641582,Male,Germany,2,68,10,43,123180.01,735,196673.28,0,1,1,3,12
15638424,Female,Germany,2,69,5,35,150725.53,661,113656.85,0,0,1,5,5
15755648,Female,France,1,70,8,21,98373.26,675,18203,0,1,0,4,18
15703793,Male,Germany,4,71,2,58,133745.44,738,28373.86,1,1,0,5,16
15620344,Male,France,1,72,6,29,0,813,33953.87,0,1,0,8,12
15812518,Female,Spain,1,73,0,37,163607.18,657,44203.55,0,0,1,6,15
15779052,Female,Germany,2,74,5,25,157780.84,604,58426.81,0,1,1,4,6
15770811,Male,France,2,75,9,36,0,519,145562.4,0,0,1,5,8
15780961,Female,France,2,76,1,21,178718.19,735,22388,0,1,0,7,11
15614049,Male,France,2,77,8,55,0,664,139161.64,0,1,1,8,10
